company,grade,toeic,speaking,lang,cert,abr,inte,prize,vol,target
한국가스안전공사,3.99,805.0,6.0,1.0,2.4,1.2,1.0,1.8,1.5,2
한국환경정책평가연구원,4.16,831.0,8.0,1.5,2.3,1.3,1.0,1.7,1.0,2
㈜YG엔터테인먼트,3.63,918.0,7.0,1.0,1.0,1.5,3.0,2.0,2.0,2
한국생산기술연구원,3.86,774.0,5.0,1.1,2.8,1.5,1.6,2.0,1.9,2
(주)한국야쿠르트,3.83,844.0,6.0,1.0,2.5,1.2,1.0,1.9,1.6,2
한국보건사회연구원,3.83,805.0,7.0,1.3,2.8,1.3,3.0,1.0,2.6,2
(주)디지틀조선일보,3.75,792.0,7.0,1.0,2.4,1.7,1.5,2.8,2.9,2
이수건설(주),4.0,868.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,2
(주)티맥스소프트,3.69,807.0,6.0,1.1,2.6,1.4,1.3,1.8,2.0,2
(주)홈앤쇼핑,3.64,844.0,6.0,1.3,3.0,1.2,2.0,2.0,2.4,2
대원씨티에스㈜,3.78,740.0,5.0,1.0,2.4,1.0,2.0,2.3,1.5,2
코나아이(주),3.75,852.0,6.0,3.0,2.7,1.7,1.0,1.3,2.1,2
한화솔루션(주),3.76,869.0,7.0,1.6,2.1,1.4,1.4,1.6,1.7,2
와이즈와이어즈㈜,3.41,690.0,6.0,1.1,2.4,1.3,2.0,1.9,1.5,2
AJ네트웍스(주),3.75,828.0,7.0,1.0,2.6,1.2,1.5,2.3,3.0,2
SK건설(주),3.74,843.0,7.0,1.0,2.6,1.2,1.2,1.6,1.4,2
인천국제공항공사,3.82,896.0,7.0,1.3,2.5,1.3,1.3,1.6,1.9,2
(주)교원,3.78,878.0,7.0,1.0,2.6,1.3,1.4,1.9,2.1,2
㈜아프리카TV,3.51,653.0,6.0,1.8,3.3,1.8,1.7,2.8,2.7,2
케이웨더㈜,3.45,829.0,6.0,1.0,2.5,1.0,3.0,1.0,1.0,2
한국아이비엠 테크니컬솔루션(유),3.63,761.0,4.0,1.0,3.2,1.5,2.0,1.3,1.8,2
㈜유비쿼스,3.54,824.0,5.0,1.5,1.9,1.4,1.0,1.4,2.3,2
(주)나스미디어,3.63,838.0,7.0,1.0,2.2,1.4,1.7,2.2,2.0,2
㈜MP그룹,3.66,845.0,6.0,1.0,2.0,1.5,1.5,1.5,1.3,2
엔테크서비스(주),4.03,743.0,6.0,1.0,2.3,1.0,0.0,2.0,2.0,2
효성아이티엑스(주),3.49,640.0,7.0,1.0,2.3,1.0,0.0,1.0,0.0,2
NS홈쇼핑,3.55,859.0,6.0,1.0,2.2,1.0,1.0,0.0,2.3,2
(주)아이센스,3.69,889.0,7.0,1.5,2.2,1.3,2.3,1.5,1.7,2
한국중부발전(주),3.72,833.0,6.0,1.0,3.0,1.3,1.0,1.4,1.9,2
잡코리아(유),3.62,825.0,6.0,1.0,2.4,1.7,1.7,2.1,2.8,2
㈜CJ ENM,3.76,889.0,7.0,1.0,2.1,1.3,1.3,1.4,2.2,2
(주)한국카본,3.84,747.0,5.0,1.5,3.2,1.3,1.0,1.8,2.0,2
(주)남영비비안,3.55,821.0,6.0,1.0,1.7,1.4,2.0,2.0,2.0,2
한화토탈(주),3.97,788.0,7.0,1.0,3.4,2.0,1.0,1.0,1.5,2
한미사이언스(주),3.71,784.0,6.0,1.3,2.1,1.5,1.9,2.7,2.1,2
중앙일보(주),3.62,833.0,6.0,1.0,2.2,1.1,1.8,2.4,1.9,2
일동제약㈜,3.63,825.0,6.0,1.0,2.3,1.4,1.5,2.7,1.8,2
금호타이어(주),3.76,854.0,6.0,0.0,2.2,1.1,1.1,2.0,1.5,2
(주)엠씨넥스,3.75,767.0,4.0,1.5,2.8,1.5,2.6,2.0,1.9,2
(재)한국에너지기술연구원,3.91,709.0,5.0,1.2,2.4,1.4,1.6,1.4,2.1,2
(주)대우건설,3.69,858.0,6.0,1.3,2.2,1.4,1.4,1.9,1.7,2
(재)한국노동연구원,3.91,830.0,0.0,1.0,3.0,1.0,0.0,1.7,4.0,2
동부제철(주),3.74,836.0,7.0,1.1,2.3,2.0,1.0,2.2,1.3,2
(주)에스앤아이코퍼레이션,3.76,839.0,6.0,1.0,2.3,1.4,1.3,1.5,2.2,2
㈜인포피아,3.87,816.0,0.0,1.0,3.0,1.5,2.0,1.0,1.3,2
오스템임플란트(주),3.66,805.0,6.0,1.2,2.6,1.5,1.7,1.5,1.9,2
(주)해커스어학원,3.74,890.0,6.0,2.0,2.6,1.2,1.9,2.9,2.8,2
(유)기흥모터스,3.27,687.0,7.0,1.0,2.0,1.4,1.3,2.0,2.5,2
(주)우성사료,3.82,886.0,7.0,2.0,3.0,1.3,1.0,2.7,1.7,2
한국과학기술연구원,3.87,776.0,6.0,1.3,2.6,1.3,1.9,2.1,1.8,2
딜리버리히어로코리아유한책임회사,3.62,799.0,6.0,1.0,1.3,1.2,1.0,4.0,2.0,2
피에스케이홀딩스(주),3.97,768.0,5.0,2.0,2.3,2.5,1.0,2.0,2.0,2
(주)하이프라자,3.66,760.0,6.0,1.5,2.9,1.2,1.7,3.7,1.9,2
㈜세일종합기술공사,3.51,781.0,0.0,1.0,2.9,1.0,2.0,0.0,1.0,2
한국수자원공사,3.67,824.0,7.0,1.0,3.0,1.4,1.4,1.7,2.5,2
국토연구원,3.88,797.0,6.0,1.0,2.6,1.3,2.3,1.9,2.0,2
GS건설㈜,3.75,851.0,7.0,1.7,2.6,1.1,1.4,1.8,1.4,2
㈜더에스엠씨그룹,3.67,837.0,6.0,1.0,2.3,1.4,1.9,2.2,2.6,2
LG 이노텍,3.74,837.0,6.0,1.1,2.0,1.1,1.0,1.4,1.2,2
한국조폐공사,3.71,812.0,5.0,1.0,3.3,1.2,2.0,0.0,2.0,2
(주)좋은책신사고,3.73,808.0,6.0,1.0,2.9,1.4,0.0,1.5,1.5,2
CJ대한통운(주),3.75,899.0,7.0,1.0,2.7,1.2,1.2,1.6,1.5,2
근로복지공단,3.75,820.0,6.0,1.1,3.0,1.2,1.6,1.5,2.3,2
LS엠트론㈜,3.74,818.0,5.0,1.0,1.6,1.5,1.5,1.8,1.5,2
푸르덴셜생명보험(주),3.69,826.0,6.0,1.2,2.3,1.4,1.4,1.0,1.8,2
